model,accuracy,precision,recall,f1,balanced_accuracy,roc_auc
Baseline (TF-IDF + LogReg),0.8977272727272727,0.952054794520548,0.8273809523809523,0.8853503184713376,0.8946687370600415,0.9626196946169773
Improved (SMOTE + balanced) @ thr=0.4457,0.8920454545454546,0.8421052631578947,0.9523809523809523,0.8938547486033519,0.8946687370600415,0.9631696428571429
